title;author;booklink;ratingscount;rating;genre1;genre2;genre3;genre4
The Atlantis Gene (The Origin Mystery, #1);A.G. Riddle;https://goodreads.com/book/show/25843420-the-atlantis-gene;50006;3,71;Science Fiction;Fiction;Thriller;Mystery
The Creature from Jekyll Island: A Second Look at the Federal Reserve (Paperback);G. Edward Griffin;https://goodreads.com/book/show/66499.The_Creature_from_Jekyll_Island;3724;4,28;Economics;History;Nonfiction;Politics
VIP Conspiracies & Secret Societies (Hardcover);Brad Steiger;https://goodreads.com/book/show/361822.VIP_Conspiracies_Secret_Societies;210;3,51;Nonfiction;History;Literature;American
...And the Truth Shall Set You Free (Paperback);David Icke;https://goodreads.com/book/show/664328._And_the_Truth_Shall_Set_You_Free;627;3,93;Nonfiction;History;Politics;Science
The Earth Will Shake: The History of the Early Illuminati (Paperback);Robert Anton Wilson;https://goodreads.com/book/show/129124.The_Earth_Will_Shake;975;4,08;Fiction;Fantasy;Historical;Historical Fiction
Tragedy and Hope: A History of the World in Our Time (Hardcover);Carroll Quigley;https://goodreads.com/book/show/726546.Tragedy_and_Hope;599;4,32;History;Politics;Nonfiction;Economics
The Big Four (Hercule Poirot, #5);Agatha Christie;https://goodreads.com/book/show/16316.The_Big_Four;28065;3,59;Mystery;Fiction;Mystery;Crime
The Terror Conspiracy: Deception, 9/11 & the Loss of Liberty (Paperback);Jim Marrs;https://goodreads.com/book/show/216273.The_Terror_Conspiracy;238;4,08;Nonfiction;History;Politics;War
Shutter Island (Mass Market Paperback);Dennis Lehane;https://goodreads.com/book/show/21686.Shutter_Island;142137;4,09;Mystery;Fiction;Thriller;Suspense
63 Documents the Government Doesn't Want You to Read (Hardcover);Jesse Ventura;https://goodreads.com/book/show/10359253-63-documents-the-government-doesn-t-want-you-to-read;799;3,49;Nonfiction;Politics;History;Politics
January (Conspiracy 365 #1);Gabrielle Lord;https://goodreads.com/book/show/7066732-january;3900;4,05;Mystery;Young Adult;Adventure;Action
The Doomsday Key (Sigma Force, #6);James Rollins;https://goodreads.com/book/show/5171894-the-doomsday-key;24152;4,16;Thriller;Fiction;Adventure;Mystery
Fahrenheit 451 (Kindle Edition);Ray Bradbury;https://goodreads.com/book/show/13079982-fahrenheit-451;1417860;3,98;Classics;Fiction;Science Fiction;Science Fiction
The Bourne Supremacy (Jason Bourne, #2);Robert Ludlum;https://goodreads.com/book/show/15769.The_Bourne_Supremacy;163241;4,11;Fiction;Thriller;Mystery;Suspense
The Cold Six Thousand (Underworld USA #2);James Ellroy;https://goodreads.com/book/show/4191.The_Cold_Six_Thousand;6305;4,00;Fiction;Mystery;Crime;Mystery
The Maze Runner (The Maze Runner, #1);James Dashner;https://goodreads.com/book/show/6186357-the-maze-runner;891091;4,02;Young Adult;Science Fiction;Dystopia;Science Fiction
Little Brother (Little Brother, #1);Cory Doctorow;https://goodreads.com/book/show/954674.Little_Brother;44464;3,93;Young Adult;Science Fiction;Fiction;Science Fiction
March (Conspiracy 365 #3);Gabrielle Lord;https://goodreads.com/book/show/7066725-march;2471;4,17;Mystery;Young Adult;Adventure;Action
June (Conspiracy 365 #6);Gabrielle Lord;https://goodreads.com/book/show/7066729-june;1844;4,20;Young Adult;Mystery;Adventure;Action
August (Conspiracy 365, #8);Gabrielle Lord;https://goodreads.com/book/show/7066733-august;1653;4,24;Young Adult;Mystery;Adventure;Action
July (Conspiracy 365 #7);Gabrielle Lord;https://goodreads.com/book/show/7066728-july;1847;4,23;Mystery;Young Adult;Adventure;Action
December (Conspiracy 365, #12);Gabrielle Lord;https://goodreads.com/book/show/7923062-december;1701;4,39;Mystery;Young Adult;Adventure;Action
September (Conspiracy 365 #9);Gabrielle Lord;https://goodreads.com/book/show/7937812-september;1671;4,24;Mystery;Young Adult;Adventure;Action
The Jefferson Key (Cotton Malone, #7);Steve Berry;https://goodreads.com/book/show/10503124-the-jefferson-key;17476;3,89;Thriller;Fiction;Mystery;Historical
The Franklin Cover-Up: Child Abuse, Satanism, and Murder in Nebraska (Paperback);John W.  DeCamp;https://goodreads.com/book/show/567746.The_Franklin_Cover_Up;438;4,16;Crime;True Crime;Nonfiction;History
The Doomsday Conspiracy (Hardcover);Sidney Sheldon;https://goodreads.com/book/show/106646.The_Doomsday_Conspiracy;20550;3,61;Fiction;Thriller;Mystery;Suspense
The Search for the Manchurian Candidate: The CIA & Mind Control (Paperback);John D. Marks;https://goodreads.com/book/show/342573.The_Search_for_the_Manchurian_Candidate;283;3,99;History;Psychology;Nonfiction;Politics
The Collectors (Camel Club, #2);David Baldacci;https://goodreads.com/book/show/15154.The_Collectors;37407;4,02;Fiction;Mystery;Thriller;Suspense
Communion: A True Story (Paperback);Whitley Strieber;https://goodreads.com/book/show/294285.Communion;4535;3,49;Nonfiction;Horror;Fantasy;Paranormal
The Morning of the Magicians (Paperback);Louis Pauwels;https://goodreads.com/book/show/979284.The_Morning_of_the_Magicians;1046;3,89;Occult;Nonfiction;History;Fantasy
The Ghost (Hardcover);Robert   Harris;https://goodreads.com/book/show/895185.The_Ghost;12487;3,70;Fiction;Thriller;Mystery;Politics
Dune (Dune Chronicles, #1);Frank Herbert;https://goodreads.com/book/show/39776179-dune;619524;4,22;Science Fiction;Fiction;Fantasy;Classics
April (Conspiracy 365, #4);Gabrielle Lord;https://goodreads.com/book/show/7066731-april;2206;4,19;Young Adult;Mystery;Action;Adventure
Hell's Corner (Camel Club, #5);David Baldacci;https://goodreads.com/book/show/8045080-hell-s-corner;27987;4,12;Fiction;Thriller;Mystery;Suspense
Animal Farm (Mass Market Paperback);George Orwell;https://goodreads.com/book/show/170448.Animal_Farm;2352414;3,92;Classics;Fiction;Science Fiction;Dystopia
October (Conspiracy 365 #10);Gabrielle Lord;https://goodreads.com/book/show/7806466-october;1317;4,17;Mystery;Young Adult;Adventure;Action
From Hell (Paperback);Alan Moore;https://goodreads.com/book/show/23529.From_Hell;30094;4,16;Sequential Art;Graphic Novels;Sequential Art;Comics
Special Topics in Calamity Physics (Hardcover);Marisha Pessl;https://goodreads.com/book/show/3483.Special_Topics_in_Calamity_Physics;37352;3,71;Fiction;Mystery;Contemporary;Literary Fiction
The NASA Conspiracies: The Truth Behind the Moon Landings, Censored Photos & the Face on Mars (Paperback);Nick Redfern;https://goodreads.com/book/show/9476036-the-nasa-conspiracies;82;3,21;Fantasy;Paranormal;Science Fiction;Aliens
The Matarese Countdown (Matarese #2);Robert Ludlum;https://goodreads.com/book/show/573202.The_Matarese_Countdown;5652;3,88;Fiction;Thriller;Spy Thriller;Espionage
The Sign and the Seal: The Quest for the Lost Ark of the Covenant (Paperback);Graham Hancock;https://goodreads.com/book/show/53326.The_Sign_and_the_Seal;1977;3,93;History;Nonfiction;Religion;Mystery
Forbidden Archeology: The Hidden History of the Human Race (Hardcover);Michael A. Cremo;https://goodreads.com/book/show/88473.Forbidden_Archeology;839;4,06;History;Science;Nonfiction;History
Airframe (Paperback);Michael Crichton;https://goodreads.com/book/show/7667.Airframe;71483;3,70;Fiction;Thriller;Mystery;Science Fiction
Ice Station (Shane Schofield, #1);Matthew Reilly;https://goodreads.com/book/show/144790.Ice_Station;25611;4,12;Thriller;Fiction;Action;Adventure
Killing Floor (Jack Reacher, #1);Lee Child;https://goodreads.com/book/show/78129.Killing_Floor;216780;4,05;Thriller;Fiction;Mystery;Mystery
Scarlet (The Lunar Chronicles, #2);Marissa Meyer;https://goodreads.com/book/show/13206760-scarlet;265081;4,29;Young Adult;Fantasy;Science Fiction;Romance
Prodigy (Legend, #2);Marie Lu;https://goodreads.com/book/show/13414446-prodigy;183258;4,28;Science Fiction;Dystopia;Young Adult;Romance
"Shift (Shift, #1-3; Silo, #2)";Hugh Howey;https://goodreads.com/book/show/17306293-shift;64608;4,12;Science Fiction;Fiction;Science Fiction;Dystopia
Chew, Vol. 1: Taster's Choice (Paperback);John Layman;https://goodreads.com/book/show/6839093-chew-vol-1;34135;3,95;Sequential Art;Graphic Novels;Sequential Art;Comics
The Cassandra Project (Hardcover);Jack McDevitt;https://goodreads.com/book/show/13542654-the-cassandra-project;1314;3,43;Science Fiction;Fiction;Mystery;Thriller
The Fifth Assassin (Culper Ring, #2);Brad Meltzer;https://goodreads.com/book/show/14889776-the-fifth-assassin;12279;3,83;Fiction;Mystery;Thriller;Historical
Grave Mercy (His Fair Assassin, #1);Robin LaFevers;https://goodreads.com/book/show/9565548-grave-mercy;86658;3,91;Fantasy;Young Adult;Historical;Historical Fiction
The English Girl (Gabriel Allon, #13);Daniel Silva;https://goodreads.com/book/show/16248078-the-english-girl;24715;4,11;Fiction;Thriller;Mystery;Spy Thriller
Adaptation (Adaptation, #1);Malinda Lo;https://goodreads.com/book/show/10744752-adaptation;6628;3,63;Young Adult;LGBT;Science Fiction;Fiction
Allegiant (Divergent, #3);Veronica Roth;https://goodreads.com/book/show/18710190-allegiant;742482;3,63;Young Adult;Science Fiction;Dystopia;Fiction
"Hunted (Black Ops #2; Conspiracy 365 #16)";Gabrielle Lord;https://goodreads.com/book/show/18038785-hunted;217;4,28;Young Adult;Thriller;Mystery Thriller;Mystery
A Conspiracy of Paper (Benjamin Weaver, #1);David Liss;https://goodreads.com/book/show/49488.A_Conspiracy_of_Paper;9948;3,87;Historical;Historical Fiction;Mystery;Fiction
Apocalypse Culture (Paperback);Adam Parfrey;https://goodreads.com/book/show/276477.Apocalypse_Culture;1275;3,98;Nonfiction;History;Culture;Society
100 Bullets, Vol. 4: A Foregone Tomorrow (Paperback);Brian Azzarello;https://goodreads.com/book/show/94517.100_Bullets_Vol_4;4386;4,11;Sequential Art;Graphic Novels;Sequential Art;Comics
Blood Oath (Nathaniel Cade, #1);Christopher Farnsworth;https://goodreads.com/book/show/6662410-blood-oath;7598;3,93;Paranormal;Vampires;Fantasy;Urban Fantasy
The Fuller Memorandum (Laundry Files, #3);Charles Stross;https://goodreads.com/book/show/7149287-the-fuller-memorandum;10095;4,18;Fantasy;Science Fiction;Horror;Fantasy
Halting State (Halting State, #1);Charles Stross;https://goodreads.com/book/show/222472.Halting_State;11198;3,79;Science Fiction;Fiction;Science Fiction;Cyberpunk
Without Fail (Jack Reacher, #6);Lee Child;https://goodreads.com/book/show/21745.Without_Fail;75105;4,16;Thriller;Fiction;Mystery;Mystery
The Hard Way (Jack Reacher, #10);Lee Child;https://goodreads.com/book/show/383028.The_Hard_Way;55293;4,16;Thriller;Fiction;Mystery;Mystery
Free Fire (Joe Pickett, #7);C.J. Box;https://goodreads.com/book/show/244099.Free_Fire;8688;4,23;Mystery;Fiction;Thriller;Westerns
Wool (Wool, #1);Hugh Howey;https://goodreads.com/book/show/12287209-wool;70542;4,12;Science Fiction;Fiction;Science Fiction;Dystopia
The Bone Labyrinth (Sigma Force, #11);James Rollins;https://goodreads.com/book/show/23434061-the-bone-labyrinth;10904;4,13;Thriller;Fiction;Adventure;Mystery
The Panic Zone (Jack Gannon, #2);Rick Mofina;https://goodreads.com/book/show/7822872-the-panic-zone;738;3,87;Thriller;Fiction;Suspense;Mystery
The Dead Sea Scrolls Deception (Paperback);Michael Baigent;https://goodreads.com/book/show/605165.The_Dead_Sea_Scrolls_Deception;954;3,55;Religion;History;Nonfiction;Religion
The Jesus Papers: Exposing the Greatest Cover-up in History (Plus);Michael Baigent;https://goodreads.com/book/show/177114.The_Jesus_Papers;1108;3,45;Religion;Nonfiction;History;Religion
Suspicious Minds: Why We Believe Conspiracy Theories (Hardcover);Rob Brotherton;https://goodreads.com/book/show/23848322-suspicious-minds;478;3,79;Psychology;Nonfiction;Science;History
The House of Secrets (Hardcover);Brad Meltzer;https://goodreads.com/book/show/27170154-the-house-of-secrets;6769;3,50;Mystery;Fiction;Thriller;Suspense
The New Confessions of an Economic Hit Man (Paperback);John Perkins;https://goodreads.com/book/show/26593431-the-new-confessions-of-an-economic-hit-man;2624;3,95;Economics;Nonfiction;Politics;History
War Hawk (Tucker Wayne, #2);James Rollins;https://goodreads.com/book/show/22693168-war-hawk;4109;4,18;Thriller;Fiction;Adventure;Action
This Book Is Full of Spiders (John Dies at the End, #2);David  Wong;https://goodreads.com/book/show/12924261-this-book-is-full-of-spiders;22347;4,26;Horror;Fiction;Humor;Fantasy
Firestarter (Paperback);Stephen King;https://goodreads.com/book/show/233667.Firestarter;168905;3,87;Horror;Fiction;Thriller;Science Fiction
Sacred Treason (Clarenceux, #1);James Forrester;https://goodreads.com/book/show/14296897-sacred-treason;1656;3,68;Historical;Historical Fiction;Mystery;Fiction
Nothing to Lose (Jack Reacher, #12);Lee Child;https://goodreads.com/book/show/2211221.Nothing_to_Lose;46434;3,92;Thriller;Fiction;Mystery;Mystery
Etiquette & Espionage (Finishing School, #1);Gail Carriger;https://goodreads.com/book/show/10874177-etiquette-espionage;40077;3,80;Young Adult;Science Fiction;Steampunk;Fantasy
The False Prince (The Ascendance Trilogy, #1);Jennifer A. Nielsen;https://goodreads.com/book/show/12432220-the-false-prince;63787;4,23;Fantasy;Young Adult;Childrens;Middle Grade
The Affair (Jack Reacher, #16);Lee Child;https://goodreads.com/book/show/10428708-the-affair;67792;4,13;Thriller;Fiction;Mystery;Mystery
Manufacturing Consent: The Political Economy of the Mass Media (Paperback);Noam Chomsky;https://goodreads.com/book/show/12617.Manufacturing_Consent;12999;4,24;Politics;Nonfiction;History;Philosophy
Big Brother: The Orwellian Nightmare Come True (Paperback);Mark Dice;https://goodreads.com/book/show/8483313-big-brother;117;4,15;Nonfiction;Science;Politics;Science
I Am Pilgrim (Hardcover);Terry Hayes;https://goodreads.com/book/show/18144124-i-am-pilgrim;98744;4,25;Thriller;Fiction;Mystery;Mystery
The Curse of Chalion (World of the Five Gods, #1);Lois McMaster Bujold;https://goodreads.com/book/show/61886.The_Curse_of_Chalion;28357;4,16;Fantasy;Fiction;Fantasy;High Fantasy
The Orion Mystery: Unlocking the Secrets of the Pyramids (Paperback);Robert Bauval;https://goodreads.com/book/show/21242.The_Orion_Mystery;1260;3,93;History;Nonfiction;Science;Northern Africa
The House of Thunder (Mass Market Paperback);Leigh Nichols;https://goodreads.com/book/show/228220.The_House_of_Thunder;16351;3,78;Horror;Thriller;Thriller;Mystery Thriller
Mary's Mosaic: The CIA Conspiracy to Murder John F. Kennedy, Mary Pinchot Meyer, and Their Vision for World Peace (Hardcover);Peter Janney;https://goodreads.com/book/show/11839723-mary-s-mosaic;692;4,07;History;Nonfiction;Crime;True Crime
Book of Lies: The Disinformation Guide to Magick and the Occult (Paperback);Richard Metzger;https://goodreads.com/book/show/22446.Book_of_Lies;1718;4,05;Occult;Nonfiction;Occult;Magick
The Chancellor Manuscript (Paperback);Robert Ludlum;https://goodreads.com/book/show/819487.The_Chancellor_Manuscript;5544;3,83;Thriller;Fiction;Mystery;Spy Thriller
The Brethren (Paperback);John Grisham;https://goodreads.com/book/show/5354.The_Brethren;79924;3,73;Fiction;Thriller;Mystery;Thriller
The Daughter of Time (Inspector Alan Grant, #5);Josephine Tey;https://goodreads.com/book/show/77661.The_Daughter_of_Time;21007;3,94;Mystery;Historical;Historical Fiction;Fiction
Where Men Win Glory: The Odyssey of Pat Tillman (Hardcover);Jon Krakauer;https://goodreads.com/book/show/2936415-where-men-win-glory;26853;4,05;Nonfiction;Biography;History;War
Orders to Kill: The Truth Behind the Murder of Martin Luther King Jr. (Paperback);William F. Pepper;https://goodreads.com/book/show/321613.Orders_to_Kill;47;4,11;History;Nonfiction;Politics;Crime
The Gun Seller (Paperback);Hugh Laurie;https://goodreads.com/book/show/45234.The_Gun_Seller;18193;3,68;Fiction;Humor;Mystery;Thriller
The Crucible (Paperback);Arthur  Miller;https://goodreads.com/book/show/17250.The_Crucible;288614;3,57;Classics;Plays;Fiction;Historical
The Austere Academy (A Series of Unfortunate Events, #5);Lemony Snicket;https://goodreads.com/book/show/131123.The_Austere_Academy;119308;3,99;Fiction;Young Adult;Childrens;Fantasy
The Pillars of the Earth (Kingsbridge, #1);Ken Follett;https://goodreads.com/book/show/5043.The_Pillars_of_the_Earth;579105;4,31;Historical;Historical Fiction;Fiction;Historical
The Miserable Mill (A Series of Unfortunate Events, #4);Lemony Snicket;https://goodreads.com/book/show/65119.The_Miserable_Mill;125989;3,85;Fiction;Young Adult;Childrens;Fantasy
The Ersatz Elevator (A Series of Unfortunate Events, #6);Lemony Snicket;https://goodreads.com/book/show/172327.The_Ersatz_Elevator;111667;4,03;Fiction;Young Adult;Childrens;Fantasy
The Osterman Weekend (Paperback);Robert Ludlum;https://goodreads.com/book/show/356248.The_Osterman_Weekend;7779;3,67;Thriller;Fiction;Spy Thriller;Espionage
I am me I am free: The Robots' Guide to Freedom (Paperback);David Icke;https://goodreads.com/book/show/640468.I_am_me_I_am_free;296;3,94;Spirituality;Nonfiction;Unfinished;Self Help
Unholy Alliance: A History of Nazi Involvement with the Occult (Paperback);Peter Levenda;https://goodreads.com/book/show/51967.Unholy_Alliance;256;3,68;History;Nonfiction;Occult;Politics
Majestic (Paperback);Whitley Strieber;https://goodreads.com/book/show/1100400.Majestic;686;3,61;Science Fiction;Fiction;Horror;Fantasy
Labyrinth (Languedoc, #1);Kate Mosse;https://goodreads.com/book/show/14975.Labyrinth;44210;3,57;Historical;Historical Fiction;Fiction;Fantasy
The Spear of Destiny (Paperback);Trevor Ravenscroft;https://goodreads.com/book/show/403121.The_Spear_of_Destiny;469;3,47;Nonfiction;History;Occult;Fantasy
Heresy (Giordano Bruno, #1);S.J. Parris;https://goodreads.com/book/show/6611809-heresy;8392;3,73;Historical;Historical Fiction;Mystery;Fiction
Messengers of Deception: UFO Contacts and Cults (Hardcover);Jacques F. Vallée;https://goodreads.com/book/show/406348.Messengers_of_Deception;217;4,22;Fantasy;Paranormal;Nonfiction;Science
The Good Guy (Hardcover);Dean Koontz;https://goodreads.com/book/show/32441.The_Good_Guy;30654;3,82;Thriller;Fiction;Horror;Mystery
Novus Ordo Seclorum (Paperback);Zaynur Ridwan;https://goodreads.com/book/show/7895201-novus-ordo-seclorum;327;4,11;Novels;Thriller;Mystery;Fiction
Dead Aim (Eve Duncan, #4.5);Iris Johansen;https://goodreads.com/book/show/573326.Dead_Aim;7918;4,03;Mystery;Suspense;Fiction;Thriller
The Lost Order (Cotton Malone, #12);Steve Berry;https://goodreads.com/book/show/29939076-the-lost-order;6490;4,08;Thriller;Fiction;Historical;Historical Fiction
The Crystal Skull (Hardcover);Manda Scott;https://goodreads.com/book/show/2616577-the-crystal-skull;1187;3,24;Thriller;Fiction;Mystery;Fantasy
The Devil's Triangle (A Brit in the FBI, #4);Catherine Coulter;https://goodreads.com/book/show/28693376-the-devil-s-triangle;4742;4,04;Mystery;Thriller;Fiction;Suspense
The End Game (A Brit in the FBI, #3);Catherine Coulter;https://goodreads.com/book/show/24611928-the-end-game;5644;4,26;Mystery;Thriller;Suspense;Fiction
Red Sister (Book of the Ancestor, #1);Mark  Lawrence;https://goodreads.com/book/show/25895524-red-sister;24964;4,26;Fantasy;Fiction;Adult;Fantasy
Chasing Shadows (Sekret Machines #1);Tom DeLonge;https://goodreads.com/book/show/28187226-chasing-shadows;1039;4,22;Fiction;Science Fiction;Mystery;Science Fiction
Truthers (Hardcover);Geoffrey Girard;https://goodreads.com/book/show/28486039-truthers;163;3,32;Young Adult;Mystery;Thriller;Fiction
The Cosmic War: Interplanetary Warfare, Modern Physics, and Ancient Texts (Paperback);Joseph P. Farrell;https://goodreads.com/book/show/2256824.The_Cosmic_War;131;4,04;History;Science;Nonfiction;Fantasy
Dangerous Minds (Knight and Moon, #2);Janet Evanovich;https://goodreads.com/book/show/31522138-dangerous-minds;9699;3,59;Mystery;Fiction;Humor;Audiobook
Fool Me Once (Hardcover);Harlan Coben;https://goodreads.com/book/show/26109394-fool-me-once;66182;3,93;Mystery;Thriller;Fiction;Suspense
The CIA as Organized Crime: How Illegal Operations Corrupt America and the World (Kindle Edition);Douglas Valentine;https://goodreads.com/book/show/33780311-the-cia-as-organized-crime;100;3,83;History;Nonfiction;Politics;Audiobook
Dark Money: The Hidden History of the Billionaires Behind the Rise of the Radical Right (ebook);Jane Mayer;https://goodreads.com/book/show/27833494-dark-money;14752;4,36;Nonfiction;Politics;History;Economics
The President's Shadow (Culper Ring, #3);Brad Meltzer;https://goodreads.com/book/show/22501099-the-president-s-shadow;7478;3,76;Fiction;Thriller;Mystery;Historical
Gods from Outer Space (Paperback);Erich von Däniken;https://goodreads.com/book/show/963435.Gods_from_Outer_Space;723;3,30;Nonfiction;History;Fantasy;Paranormal
The Ghost Network (Paperback);Catie Disabato;https://goodreads.com/book/show/22889883-the-ghost-network;1388;3,08;Fiction;Mystery;Contemporary;LGBT
Magic Strikes (Kate Daniels, #3);Ilona Andrews;https://goodreads.com/book/show/4345498-magic-strikes;65225;4,44;Fantasy;Urban Fantasy;Fantasy;Fantasy
The Dead Key (Kindle Edition);D.M. Pulley;https://goodreads.com/book/show/22914448-the-dead-key;26746;3,85;Mystery;Fiction;Thriller;Thriller
Dumbing Us Down: The Hidden Curriculum of Compulsory Schooling (Paperback);John Taylor Gatto;https://goodreads.com/book/show/225850.Dumbing_Us_Down;5758;4,17;Education;Nonfiction;Parenting;Teaching
The Marks of Cain (Hardcover);Tom Knox;https://goodreads.com/book/show/7576543-the-marks-of-cain;2414;3,62;Thriller;Fiction;Mystery;Adventure
No Place to Hide: Edward Snowden, the NSA, and the U.S. Surveillance State (Hardcover);Glenn Greenwald;https://goodreads.com/book/show/18213403-no-place-to-hide;12033;4,08;Nonfiction;Politics;History;Science
The Target (Will Robie, #3);David Baldacci;https://goodreads.com/book/show/18353714-the-target;36708;4,07;Thriller;Fiction;Mystery;Suspense
The Hanged Man (Her Majesty's Psychic Service, #1);P.N. Elrod;https://goodreads.com/book/show/23245584-the-hanged-man;1581;3,81;Fantasy;Science Fiction;Steampunk;Mystery
Blank Spots on the Map: The Dark Geography of the Pentagon's Secret World (Hardcover);Trevor Paglen;https://goodreads.com/book/show/5956744-blank-spots-on-the-map;348;3,67;History;Nonfiction;Politics;War
Rahasia Meede: Misteri Harta Karun VOC (Paperback);E.S. Ito;https://goodreads.com/book/show/2016000.Rahasia_Meede;1696;4,02;Asian Literature;Indonesian Literature;Novels;Fiction
14 (Threshold, #1);Peter Clines;https://goodreads.com/book/show/15062217-14;27382;3,94;Horror;Science Fiction;Fiction;Mystery
Assassin's Creed: Renaissance (Assassin's Creed, #1);Oliver Bowden;https://goodreads.com/book/show/7205214-assassin-s-creed;12249;3,73;Fantasy;Historical;Historical Fiction;Fiction
Finnikin of the Rock (Lumatere Chronicles, #1);Melina Marchetta;https://goodreads.com/book/show/4932435-finnikin-of-the-rock;36765;3,92;Fantasy;Young Adult;Romance;Adventure
The Final Empire (Mistborn, #1);Brandon Sanderson;https://goodreads.com/book/show/68428.The_Final_Empire;318483;4,45;Fantasy;Fiction;Fantasy;Epic Fantasy
Coma (Paperback);Robin Cook;https://goodreads.com/book/show/20454107-coma;44537;3,87;Fiction;Thriller;Mystery;Horror
Reckless (Ty Hauck, #3);Andrew Gross;https://goodreads.com/book/show/6975850-reckless;2838;3,79;Fiction;Thriller;Mystery;Mystery
The Trojan Project  (Paperback);Eileen Thornton;https://goodreads.com/book/show/4953275-the-trojan-project;134;4,05;Thriller;Horror;Suspense;Mystery
The Red: First Light (The Red #1);Linda Nagata;https://goodreads.com/book/show/17605440-the-red;2554;3,75;Science Fiction;Fiction;War;Military Fiction
The Bone Season (The Bone Season, #1);Samantha Shannon;https://goodreads.com/book/show/17199504-the-bone-season;49514;3,76;Fantasy;Young Adult;Science Fiction;Dystopia
Royal Assassin (Farseer Trilogy, #2);Robin Hobb;https://goodreads.com/book/show/25300956-royal-assassin;130690;4,23;Fantasy;Fiction;Fantasy;Epic Fantasy
Saphirblau (Edelstein-Trilogie, #2);Kerstin Gier;https://goodreads.com/book/show/6919272-saphirblau;64509;4,18;Fantasy;Young Adult;Science Fiction;Time Travel
Six Years (Hardcover);Harlan Coben;https://goodreads.com/book/show/15811568-six-years;58992;3,82;Mystery;Thriller;Fiction;Suspense
Dead Beat (The Dresden Files, #7);Jim Butcher;https://goodreads.com/book/show/17683.Dead_Beat;95535;4,44;Fantasy;Fiction;Mystery;Fantasy
The Atlantis Code (Thomas Lourds, #1);Charles Brokaw;https://goodreads.com/book/show/3171154-the-atlantis-code;5207;3,69;Fiction;Mystery;Adventure;Suspense
Clockwork Angel (The Infernal Devices, #1);Cassandra Clare;https://goodreads.com/book/show/7171637-clockwork-angel;589747;4,33;Fantasy;Young Adult;Fantasy;Paranormal
The Lives of Tao (Tao, #1);Wesley Chu;https://goodreads.com/book/show/15981711-the-lives-of-tao;7449;3,75;Science Fiction;Fiction;Fantasy;Science Fiction
Mumbo Jumbo (Paperback);Ishmael Reed;https://goodreads.com/book/show/761156.Mumbo_Jumbo;2802;3,81;Fiction;Novels;Cultural;African American
Started Early, Took My Dog (Jackson Brodie, #4);Kate Atkinson;https://goodreads.com/book/show/7307795-started-early-took-my-dog;30583;3,91;Mystery;Fiction;Mystery;Crime
The False Princess (Hardcover);Eilis O'Neal;https://goodreads.com/book/show/6760761-the-false-princess;14092;3,80;Fantasy;Young Adult;Romance;Fantasy
Homeland (Little Brother, #2);Cory Doctorow;https://goodreads.com/book/show/12917338-homeland;7274;3,96;Young Adult;Fiction;Science Fiction;Science Fiction
The Quiet Game (Penn Cage #1);Greg Iles;https://goodreads.com/book/show/43993.The_Quiet_Game;26950;4,19;Mystery;Fiction;Thriller;Mystery
The Last Oracle (Sigma Force, #5);James Rollins;https://goodreads.com/book/show/2277444.The_Last_Oracle;27444;4,16;Thriller;Fiction;Adventure;Mystery
